Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Amazon Customer,5.0 out of 5 stars,Five Stars,1 September 2016,?,Helpful
KayEss,5.0 out of 5 stars,Five Stars,26 August 2016,Nice product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,6 June 2017,Chief and good,Helpful
Ruchika,5.0 out of 5 stars,Great,17 September 2018,Great,Helpful
Angel,5.0 out of 5 stars,Amazing face wash,6 November 2015,Very good face wash. It actually does what it claims. I am using it for last 2 years and I don't think it will be replaced by any other face wash.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,14 April 2017,Broken bottle received,One person found this helpful
jafarsibtain,4.0 out of 5 stars,Four Stars,21 December 2016,good,Helpful
Shruthi,5.0 out of 5 stars,Five Stars,27 February 2017,Good,Helpful
Jyotsna,5.0 out of 5 stars,Best facewash,30 November 2017,It's a very nice face wash. Especially in winter this makes my skin smooth,Helpful
RAGHAV SHARMA,4.0 out of 5 stars,No counterfeiting around here..,13 January 2018,No worries just go ahead.,Helpful
Nazion,5.0 out of 5 stars,Best in best,26 August 2018,Evergreen face wash..,Helpful
Smit,3.0 out of 5 stars,PUMP FUNCTIONING PROBLEM,18 February 2017,Using this pack since long but having problem with its pump functioning.Kindly sort this problem Himalaya.,Helpful
Swarup,5.0 out of 5 stars,ekdaam first class!!,29 September 2015,Works really good I'm using it daily two times!!,Helpful
Amazon Customer,5.0 out of 5 stars,5 stars to seller for packing,24 June 2018,Very good product and packing was good. No leakage was found.,Helpful
ARUP SADHUKHAN,5.0 out of 5 stars,niv,13 October 2017,Cooooooool. . Iike it. .,Helpful
Temin,5.0 out of 5 stars,Good product.,28 October 2015,Pimples have reduced great for everyday use.,Helpful
Jayanta,5.0 out of 5 stars,Good one...,28 June 2016,Good one,Helpful
Rahul Basak,5.0 out of 5 stars,Excellent product,22 October 2018,Excellent product,Helpful
ADITYA S.,5.0 out of 5 stars,Quantity,16 September 2018,Lots of quantity.,Helpful
Sharmistha Paul,5.0 out of 5 stars,Great value for money!,7 October 2016,Reallya bang for your buck! The quality is as the other ones.,Helpful
Dibyendu Pal,5.0 out of 5 stars,Good & Original,21 October 2018,Liw price  genuine product very good product.,Helpful
Kajal khudai,5.0 out of 5 stars,himaliya facewash,12 September 2018,I used this facewash from past 3year . It isvery good product .,Helpful
Devansh Kedia,5.0 out of 5 stars,Best Face wash in the Segment!,16 April 2018,It's very good  using it past 3 years!,Helpful
Abhishek j.,1.0 out of 5 stars,Damage product,25 October 2018,Totally damage productsvery uncomfortable behaviour by packing partner,Helpful
Vishal kevadiya,5.0 out of 5 stars,Cool face,22 October 2018,Good prod,Helpful
Souvik Patra,4.0 out of 5 stars,Four Stars,4 May 2016,Deal breaker.,Helpful
Ankhuri,5.0 out of 5 stars,Good,21 September 2015,Good Product. Easy to use because of the pump.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,8 November 2017,Very Nice,Helpful
RAJESH THAKKAR,4.0 out of 5 stars,Four Stars,4 May 2016,GOOD PRODUCTS,Helpful
ankur mahajan,4.0 out of 5 stars,Four Stars,26 March 2016,It's evergreen as always,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,29 January 2017,Good Product @ best prices with 15% extra cashback paying from Paybalance,Helpful
ayush verma,5.0 out of 5 stars,The Himalaya face wash is really very good. it cleanses skin and gives a soft skin ...,10 August 2015,The Himalaya face wash is really very good. it cleanses skin and gives a soft skin as well. Just one problem is there with packing the new cap is so fitted that most people end up in breaking it while opening.,Helpful
Alokesh MayurTOP 500 REVIEWER,5.0 out of 5 stars,very effective,5 March 2016,simply excellent..,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 January 2016,Himalaya products are safe to use.,Helpful
Akash,5.0 out of 5 stars,Great,12 July 2018,Great,Helpful
Hirs,5.0 out of 5 stars,Awesome,17 June 2018,Awesome in this prise.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,7 August 2017,Awesome productDon't miss,Helpful
Rupinder pal singh,5.0 out of 5 stars,Buy buy buy,4 February 2016,Buy  bought  buying,Helpful
BALAJE.R,4.0 out of 5 stars,Four Stars,23 February 2016,Nice one and good dealer,Helpful
ACHINTA,4.0 out of 5 stars,Great deal,2 August 2018,Original product. I got only ?113.Great deal.,Helpful
Nikku Yadav,3.0 out of 5 stars,Not effective,20 August 2018,Not bad,Helpful
Tejaswini Nashrulla,5.0 out of 5 stars,Five Stars,16 May 2016,very good,Helpful
Vijay Dangwani,5.0 out of 5 stars,Quality,24 August 2018,Pricing is quite high,Helpful
M.N.Bopalia,5.0 out of 5 stars,HIMALAYA - The Best!,16 May 2017,Himalaya products are the best! P.S. Made in INDIA Made by INDIA !,Helpful
Soumik Chowdhury,5.0 out of 5 stars,Five Stars,26 October 2016,Definitely a good product...,Helpful
Hemant Chawla,5.0 out of 5 stars,Five Stars,24 September 2016,Great product!!!,Helpful
Fouziya,5.0 out of 5 stars,Five Stars,24 July 2018,Good one...prevents the skin from getting dry,Helpful
rajendra,5.0 out of 5 stars,Good product,18 June 2018,Good product,Helpful
Yash Singh,5.0 out of 5 stars,Five Stars,25 January 2018,This face wash is superbEffective result,Helpful
Amit,5.0 out of 5 stars,Good one Go for it,27 October 2016,Good One Packaging was good and the product is in Good condition I like it,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,17 November 2017,Good,Helpful
Shawon Roy,4.0 out of 5 stars,Nice,14 June 2016,Original product,Helpful
RJTN,2.0 out of 5 stars,pimples are increased,4 June 2015,pimples r increased after using ..getting more dry,Helpful
SWARAJ MOHANTY,5.0 out of 5 stars,Good Product.,13 February 2018,Good Product...,Helpful
Nahid a.,5.0 out of 5 stars,Five Stars,28 June 2018,Nice,Helpful
Amit,1.0 out of 5 stars,One Star,17 July 2017,I got wrong product and damage,One person found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,3 September 2017,Not good,Helpful
Md Aquib Akhtar,5.0 out of 5 stars,Five Stars,7 October 2016,Rate wise it was goog,Helpful
Amazon Customer,4.0 out of 5 stars,Too late service Give another contect number,15 August 2017,The given number is not connected Disappointed me pls give another contect number,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 January 2017,good product and reasonable price,Helpful
Shikha Gupta,5.0 out of 5 stars,Best as per price,28 September 2017,Very good product as per price and also is large in quantity,Helpful
gaurav jalan,5.0 out of 5 stars,great value for money,8 February 2016,great value for money,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,25 October 2017,Product is very Good but it is delivered damaged.,Helpful
Ashok,4.0 out of 5 stars,Good,30 August 2018,Good,Helpful
N.Premamani Sukumaran,5.0 out of 5 stars,Neem facewash,26 September 2018,Good,Helpful
krishnapriya,4.0 out of 5 stars,good,5 October 2018,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Too gud,1 October 2018,Nice,Helpful
Chetan,4.0 out of 5 stars,Nice product,18 September 2018,Useful product in regnable price.,Helpful
Amazon Customer,5.0 out of 5 stars,Love it buy products with them,30 October 2017,thanks genuine seller. Love it buy products with them.,Helpful
Pooja,5.0 out of 5 stars,Five Stars,8 September 2017,best for me,Helpful
Debashis paul,5.0 out of 5 stars,Five Stars,28 July 2015,very good product with big container with much quantity.,Helpful
Amazon Customer,5.0 out of 5 stars,total worth to buy,28 January 2017,It will gives u clean and smooth skin .. even I felt glow in face after using it ..,Helpful
Amazon Customer,5.0 out of 5 stars,Good,24 October 2018,Good price,Helpful
SARIF KHAN,4.0 out of 5 stars,Nice product,8 October 2018,Affordable price.,Helpful
Kuldeep Singh tomar,5.0 out of 5 stars,Five Stars,10 January 2017,Good,Helpful
Pragyanika,5.0 out of 5 stars,Five Stars,14 November 2017,Satisfied with the packaging as well as the product,Helpful
Manish Jain,5.0 out of 5 stars,Natural and Fresh!,11 October 2017,I have always liked this face wash as it's mild and is great for sensitive skin.,Helpful
sujith,5.0 out of 5 stars,Five Stars,26 October 2017,Nice,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,19 December 2017,good face wash for pimples I recommend for every one to use it,Helpful
Sukumar s.,3.0 out of 5 stars,Three Stars,17 August 2018,Good item,Helpful
anubhav,5.0 out of 5 stars,totally worth the price!!,24 July 2018,you can't get a better face wash at this price,Helpful
Deepak kumar,5.0 out of 5 stars,Parking was very good,5 October 2018,Original product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,20 November 2017,Very good product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,7 February 2018,Nice product,Helpful
Mohd Imtiyaz,5.0 out of 5 stars,Five Stars,6 July 2018,Money saving product,Helpful
Syvo Official,5.0 out of 5 stars,Five Stars,18 June 2018,Value for money,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,1 September 2017,Fabulous face wash.mild in nature,Helpful
Amazon Customer,3.0 out of 5 stars,does not help to reduce pimples,3 August 2018,does not help to reduce pimples,Helpful
Suryadeep Kundu,5.0 out of 5 stars,Five Stars,29 August 2015,good quality and awesome packaging,Helpful
ILAVALAGAN,4.0 out of 5 stars,Four Stars,1 September 2015,good one bought it for 139 with free delivery charges nice for face wash purpose,Helpful
Amazon Customer,3.0 out of 5 stars,Get a damage product! the opener cap is damaged ...,16 January 2018,Get a damage product ! the opener cap is damaged!,Helpful
AMAZ0N Inspector,4.0 out of 5 stars,ok as i bought it for 118 was spilled about 50 ml out of box,8 July 2018,was spilled about 50 ml out of box,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,22 June 2018,but it dispense a lot,Helpful
Vidya,5.0 out of 5 stars,Good,4 July 2016,Best face wash for acne skin.,Helpful
Arindam Dasmahapatra,4.0 out of 5 stars,do fresh ur face,12 January 2017,It is a good freshwash for men in respect of prices so everyone can use it.,Helpful
Arighna Kundu,4.0 out of 5 stars,Thank you amazon,16 September 2018,Genuine product..,Helpful
shravan kumar gupta,5.0 out of 5 stars,Five Stars,8 September 2018,Nice and cheap,Helpful
Mr.,5.0 out of 5 stars,Five Stars,8 March 2016,Excellent,Helpful
Amazon Customer,5.0 out of 5 stars,Good product,2 March 2018,Yaa guysBuy this productThis product is really good..,Helpful
p s,5.0 out of 5 stars,Five Stars,21 January 2018,thanks,Helpful
Amazon Customer,5.0 out of 5 stars,Awesome,5 September 2018,Feel like natual.....,Helpful
tarakant singh,4.0 out of 5 stars,It's okay,17 November 2017,Product is good,Helpful
Neha,4.0 out of 5 stars,Four Stars,16 May 2017,Nice product,Helpful
sanchari roy,5.0 out of 5 stars,Five Stars,24 January 2016,Perfect for oily skin,Helpful
GUDDU,5.0 out of 5 stars,Meet expectation,1 October 2018,For skin care,Helpful
Rahul singh,5.0 out of 5 stars,Five Stars,5 June 2018,To good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,3 November 2017,Good,Helpful
sampa d.,5.0 out of 5 stars,nice,10 June 2018,It's very good for skin... I use this product daily,Helpful
Sailesh Yadavally,5.0 out of 5 stars,Face wash,13 August 2018,Good product,Helpful
Dk...,5.0 out of 5 stars,Good,23 October 2018,300ml at 144,Helpful
Amit Kumar Pandey,5.0 out of 5 stars,Five Stars,31 January 2017,on time genuine product,Helpful
Amit Ghosh,5.0 out of 5 stars,nice product,14 January 2016,nice product,Helpful
Piyu,5.0 out of 5 stars,satisfied,26 September 2015,Always luv himalya products n worth money got it @137 so very happy..,Helpful
Shanavas Rawther,3.0 out of 5 stars,Three Stars,2 February 2016,good product,Helpful
Sanjeev kumar,5.0 out of 5 stars,Five Stars,24 August 2017,nice...,One person found this helpful
Sabari Murugan,5.0 out of 5 stars,Daily use face wash,27 October 2015,Recommended for daily use.,Helpful
ronak mehta,4.0 out of 5 stars,Good Product Bad Packaging,17 May 2017,very good product but packaging is not good  i would recommend buying product in tube pack.,Helpful
Baishma Rose,5.0 out of 5 stars,Goood,17 September 2018,In quality,Helpful
ABHISHEK ANAND,5.0 out of 5 stars,Five Stars,22 November 2015,Nice product....,Helpful
Amazon Customer,5.0 out of 5 stars,Nice products,25 August 2018,Thanks for Amazon,Helpful
Amazon Customer,5.0 out of 5 stars,Nice products,25 August 2018,Thanks for Amazon,Helpful
Laltu,4.0 out of 5 stars,not bad,11 May 2017,average not too much good or not a bad product.. i like this product. i will again buy this product.,Helpful
Vikas,5.0 out of 5 stars,Five Stars,8 July 2015,Pump mechanism is very useful,Helpful
Navnit,5.0 out of 5 stars,Affordable Price,19 August 2018,Excellent Packaging.Good Material For Skin.,Helpful
B. Shah,4.0 out of 5 stars,Good product at fair price,27 October 2015,Good product at fair price,Helpful
wahida anp,3.0 out of 5 stars,Ok,12 September 2018,Ok,Helpful
Noushad.CalicutTOP 1000 REVIEWER,5.0 out of 5 stars,Five Stars,16 March 2016,Nice,Helpful
Suresh Bathija,2.0 out of 5 stars,Himalaya neem soap,24 June 2018,Not as expected,Helpful
AN,5.0 out of 5 stars,Try it once,6 November 2015,Received it in just 2 days quite cheap facewash with a nice smell.,Helpful
Venu,4.0 out of 5 stars,Four Stars,31 March 2015,pretty good for a moment it gives a glow.,Helpful
Md.Numan,4.0 out of 5 stars,I love his product,9 September 2018,His product is very goodI like his product,Helpful
arun,3.0 out of 5 stars,Three Stars,18 February 2018,One bottle was leaking due to breakage,Helpful
Divyanshi,5.0 out of 5 stars,Five Stars,5 January 2018,I love this product...no side effects...nyc 1,Helpful
Amazon Customer,5.0 out of 5 stars,better rate than local stores.,4 August 2017,Product is good and delivered in best condition .Mfg date is July 2017.,Helpful
Amazon Customer,2.0 out of 5 stars,Damaged bottles received,10 August 2018,Received damaged bottles pump doesn't work only,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,10 January 2017,The machine is not fully functional hence less face wash material cameout every time,Helpful
Akshay,5.0 out of 5 stars,Five Stars,4 August 2015,product is works awesome nd also with a new looks ...,Helpful
Vishnu,3.0 out of 5 stars,Three Stars,2 November 2017,when I check the bar code the product is chineese,Helpful
Amazon Customer,5.0 out of 5 stars,Good,2 June 2018,Very good,Helpful
VeryTrue,4.0 out of 5 stars,Humalaya face wash,25 September 2015,Good non chemical face wash,Helpful
Arup Mandal,5.0 out of 5 stars,Best Selling With Best Results,4 November 2015,See The Tv Add Ha ha ha,Helpful
Vaishali Arora,5.0 out of 5 stars,Five Stars,11 April 2018,Very nice product to use for all type of skin.,Helpful
SAHIL GUPTA,5.0 out of 5 stars,Five Stars,6 December 2017,No pimple bcoz of this... thanks,Helpful
imran,5.0 out of 5 stars,Good,12 February 2018,Amazon is very good shipping applicationVery useful app,Helpful
shivani,5.0 out of 5 stars,Love it!!,25 August 2018,By far the best product for oily skin,Helpful
Amazon Customer,5.0 out of 5 stars,Good,7 October 2018,I am using since 2 years it is a good product,Helpful
SATHEESH CHANDRAN,5.0 out of 5 stars,Nice item,10 July 2018,Got 2 pcs 118*2,Helpful
Customer,4.0 out of 5 stars,Four Stars,13 February 2016,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,11 October 2017,Worth buying,Helpful
saikumar achari,4.0 out of 5 stars,Four Stars,1 March 2018,Better,Helpful
Upasana,5.0 out of 5 stars,Great,13 July 2015,Good product & nice buying experience,Helpful
Jazzybdesi,5.0 out of 5 stars,Good,7 July 2016,good,Helpful
Shweta Garg,4.0 out of 5 stars,Nice,27 August 2018,Very nice and quick delivery,Helpful
rustam ali,5.0 out of 5 stars,Nyc,22 October 2018,I bought this in 170,Helpful
Thajna TR,5.0 out of 5 stars,super,6 October 2018,very nice product ..,Helpful
nilEsh kushwaha,4.0 out of 5 stars,nyc ..,20 August 2017,it's nice . not for damage nd any problem.,Helpful
Priti,1.0 out of 5 stars,One Star,16 August 2017,not at all gud for me..........my skin becomes too much oily instead of cure.......,Helpful
Shubhangi khare,5.0 out of 5 stars,Must buy,22 September 2018,Nice product,Helpful
Amreesh Kumar Chauhan,5.0 out of 5 stars,Five Stars,14 December 2015,Good product,Helpful
Rajesh Jeph,5.0 out of 5 stars,Five Stars,30 August 2017,good,Helpful
Amulya Reddy,4.0 out of 5 stars,Four Stars,1 August 2016,Container has some problem. Liquid doesn't come out easily,Helpful
sushilsingh,4.0 out of 5 stars,Four Stars,17 February 2018,Superb,Helpful
Shyamala,3.0 out of 5 stars,Nice product,28 September 2017,Nice product,Helpful
Vishwateja Ashish,3.0 out of 5 stars,Three Stars,9 April 2018,NOT EFFECTIVE. OK OK,Helpful
Madhulika,5.0 out of 5 stars,Good,24 May 2018,Best face wash,Helpful
Tapas D.,5.0 out of 5 stars,Five Stars,10 October 2017,Good,Helpful
Sohom Deep Paul,4.0 out of 5 stars,SD:,16 August 2016,Good I use it daily,Helpful
BHUPINDER KUMAR,4.0 out of 5 stars,Four Stars,20 February 2016,good product,One person found this helpful
roshan,4.0 out of 5 stars,Four Stars,25 January 2018,Loved It,Helpful
punith reddy,5.0 out of 5 stars,Five Stars,14 January 2018,Excellent product. It Can treat the dry skin problems in face.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,7 August 2016,Good,Helpful
Prajakta,5.0 out of 5 stars,As expected,11 June 2018,As expected,Helpful
Monika,5.0 out of 5 stars,Five Stars,16 August 2016,Always good?,Helpful
shivanand,4.0 out of 5 stars,Four Stars,24 September 2017,Gud product,Helpful
Lalduhawmi,5.0 out of 5 stars,Good,16 April 2018,Nice,Helpful
somjyoti chakraborty,4.0 out of 5 stars,Nice,6 June 2018,Nice,Helpful
Rana Singh,5.0 out of 5 stars,Five Stars,18 March 2018,Good Product at the affordable price.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,11 November 2015,gud bought for my brother ..he had so many pimples but nw after using this his pimples got reduced,Helpful
santosh kumar,4.0 out of 5 stars,Four Stars,15 October 2017,Best face wash. For my skin,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,3 June 2017,this brand is always vert good.. i bought it in discount nice & current product.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,17 September 2017,Price is less when compared to outside market,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,29 December 2017,Nice,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,8 July 2018,good..,Helpful
Sahista,3.0 out of 5 stars,Three Stars,13 May 2018,Good 1,Helpful
Mohit Gupta,5.0 out of 5 stars,Five Stars,14 October 2016,Happy with the product,Helpful
venkatesh,5.0 out of 5 stars,Five Stars,25 January 2018,It really works for oil skin. Prevents from pimple,Helpful
dhruv gupta,4.0 out of 5 stars,Four Stars,8 December 2015,good product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,28 May 2016,Useful one,One person found this helpful
Subhankar Das,3.0 out of 5 stars,Subhankar Das,15 November 2015,Good and harmless product,Helpful
Amazon Customer,1.0 out of 5 stars,Sir Himalaya product is damage,6 July 2018,This product is damageAnd not safe product,One person found this helpful
Lhingboi kipgen,5.0 out of 5 stars,Five Stars,13 May 2018,New product + fast delivery,Helpful
Abhinay kumar,4.0 out of 5 stars,Four Stars,17 May 2018,Nice,Helpful
D V MAHESHKRISHNA,5.0 out of 5 stars,Best product,12 October 2017,Actually this is much better than the tube one.,Helpful
Balaram Pal,5.0 out of 5 stars,Five Stars,16 July 2018,Very nice product.,Helpful
Sumit Chauhan,5.0 out of 5 stars,Awesome,4 September 2018,Awesome,Helpful
gopireddy santhosh kumar reddy,4.0 out of 5 stars,Good,4 October 2018,Not bad,Helpful
P adak,5.0 out of 5 stars,Price is best,3 July 2018,Good,Helpful
Cust123,5.0 out of 5 stars,Five Stars,23 November 2015,Very good,Helpful
Amazon Customer,3.0 out of 5 stars,Product is not so good.,3 June 2018,HiProduct is not so good.,Helpful
lokesh goyal,5.0 out of 5 stars,Five Stars,27 September 2017,nice product...packaging is awesome1 xtra,Helpful
Saraswati Raju,4.0 out of 5 stars,Four Stars,2 September 2016,Good...liked it.,Helpful
Amazon customer,3.0 out of 5 stars,Three Stars,25 November 2015,Good,Helpful
Saikat Pal,5.0 out of 5 stars,A good product in Himalaya neem facewash,26 September 2016,A good product Himalaya neem facewas. I use this product. and remove spot and pimples.,Helpful
Pooja Mordani,4.0 out of 5 stars,Four Stars,6 January 2018,Good Product.,Helpful
Gaurav Sanduja,2.0 out of 5 stars,Two Stars,26 January 2017,Worst facewash,One person found this helpful
Bhaskar Ghosh,5.0 out of 5 stars,Five Stars,10 July 2015,Very good product,Helpful
sonima saha,4.0 out of 5 stars,Four Stars,19 March 2018,it is good product.. delivery so fast..,Helpful
nidhi,5.0 out of 5 stars,Five Stars,10 October 2016,Good product & refreshing feel,One person found this helpful
RAJNI MEHTA,4.0 out of 5 stars,Good,2 October 2018,Like,Helpful
Mir Feroz Ali,3.0 out of 5 stars,Nicw,5 September 2018,Good,Helpful
Sabyasachi,4.0 out of 5 stars,Good,25 July 2018,One of bottle cap missing ...,Helpful
Bineet Kumar Panda,4.0 out of 5 stars,Four Stars,30 August 2015,Always Good,Helpful
Biprojit sadhukhan,3.0 out of 5 stars,Nice product,5 October 2018,It is good product.,Helpful
rajashree das,2.0 out of 5 stars,Two Stars,11 June 2015,I am not satisfied,Helpful
Rishabh Gupta,5.0 out of 5 stars,Five Stars,9 March 2016,original product receivedHimalaya Herbals Purifying Neem Face Wash 200ml with proper packaging,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,29 May 2017,its a genuine product.,One person found this helpful
Manish Sharma,3.0 out of 5 stars,Three Stars,12 August 2015,good product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,20 December 2016,Good Face wash no pimples & Good,One person found this helpful
abhishek,5.0 out of 5 stars,It's quality n size,12 July 2018,I like this very much,Helpful
Jatin sharma,5.0 out of 5 stars,Five Stars,15 March 2018,Best face wash,Helpful
vandana,4.0 out of 5 stars,Four Stars,4 April 2018,Nice,Helpful
Nilmadhab Das,4.0 out of 5 stars,best facewash for himalaya,2 March 2017,As usual... best facewash for himalaya...,Helpful
Singh_Saab,3.0 out of 5 stars,Three Stars,18 November 2015,makes skin too much dry,Helpful
JR,2.0 out of 5 stars,Two Stars,29 May 2017,Nozzle was broken,Helpful
Souvik Mondal,4.0 out of 5 stars,Nice product,11 June 2018,Nice product good for pimples,Helpful
Sourav patra,5.0 out of 5 stars,Good,13 December 2017,Good,Helpful
saurav kumar,5.0 out of 5 stars,Product was fine but the face wash gel was blown out of the box.,6 September 2015,Product was fine but the face wash gel was blown out of the box. The courier service was very worst as they didn't care about what they are carrying.,Helpful
ARJUN S.,5.0 out of 5 stars,Quality good,20 October 2018,Original product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,9 February 2018,Very good facewash...go for it..,Helpful
Santhosh,5.0 out of 5 stars,Worth it?,11 June 2018,Very good face wash at affordable price,Helpful
Amit Kumar Shukla,5.0 out of 5 stars,Five Stars,30 December 2017,Mast hi.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,11 September 2016,Excellent,Helpful
ng,3.0 out of 5 stars,Just ok,14 November 2015,Its nice but wont lather too much. Don't expect the best result,Helpful
Parthasarathy,3.0 out of 5 stars,Three Stars,3 September 2017,Not so good for acne/eruption,Helpful
Shailesh,5.0 out of 5 stars,Five Stars,1 October 2015,Nice,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,12 November 2017,It's not working. No spring in the bottle.,Helpful
sandTOP 1000 REVIEWER,4.0 out of 5 stars,Four Stars,16 September 2015,good,Helpful
Amazon User,5.0 out of 5 stars,Five Stars,13 September 2017,Awesome,Helpful
Unaise khan,4.0 out of 5 stars,Four Stars,30 April 2018,Good....product...and good delivery,Helpful
Mohd Rafique khan,2.0 out of 5 stars,Two Stars,12 February 2018,Not better other product,Helpful
TRISHNA MAJI,5.0 out of 5 stars,Five Stars,13 October 2017,Go for it,Helpful
Rajkumar sonkar,5.0 out of 5 stars,Very well,27 August 2018,Cheap & best product.,Helpful
Tirth,5.0 out of 5 stars,NICE PRODUCT,4 August 2017,Good product & also good delivey position of product..,Helpful
Dinesh Kumar,5.0 out of 5 stars,Love It.,14 August 2015,Thanks Amazon for such genuine product on genuine price. Love It.,Helpful
AB XAVIER,5.0 out of 5 stars,Five Stars,21 May 2016,Gud one,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 April 2018,best in class,Helpful
Amazon Customer,5.0 out of 5 stars,It's too good.,6 June 2018,Good product.,Helpful
Gopi Shankar Madurai,5.0 out of 5 stars,Trustworthy product,20 October 2015,Worth for your money for all skin types and season,Helpful
NILAY KUMAR BARAI,5.0 out of 5 stars,Very good,24 September 2018,Nice product,Helpful
Rajdeep D.,5.0 out of 5 stars,Neem face wash,17 August 2018,Good product,Helpful
Manish,5.0 out of 5 stars,Amazing deal,19 October 2018,Best product,Helpful
Mohan,5.0 out of 5 stars,Five Stars,28 March 2015,very low price good product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,6 August 2017,Good product,One person found this helpful
anushabaswa,5.0 out of 5 stars,Good product,4 August 2015,Pleasant smell.Non soapy.Cleans well.Pump is really convenient.,Helpful
Balveer Singh,5.0 out of 5 stars,Five Stars,24 January 2018,Good...,Helpful
LazyShopper,3.0 out of 5 stars,Three Stars,8 April 2016,Nice facewash that lasts for long.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,4 August 2017,Superb really good one,Helpful
sonu singhal,5.0 out of 5 stars,Five Stars,15 August 2015,Excellent product,Helpful
Vicky,4.0 out of 5 stars,Nice Product,4 July 2015,Nice product good cleaning.,Helpful
Girish B.,4.0 out of 5 stars,Good results,22 April 2018,Good results use it 2 times a day,Helpful
krishnaraj,5.0 out of 5 stars,Five Stars,13 January 2018,GOod one,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,16 December 2016,Perfect face wash for acne prone skin,Helpful
Devapreeya Acharyya,4.0 out of 5 stars,Very good product,26 February 2018,Very good product... Packaging is too good...,Helpful
SANJOY MANDAL,4.0 out of 5 stars,Usefull product...,21 September 2018,Like this product.. Good..,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,14 September 2017,OSM,Helpful
ANINDITA TALUKDAR,5.0 out of 5 stars,Five Stars,8 December 2017,I love it. Mild face wash for the morning.,Helpful
Ata,5.0 out of 5 stars,Nice product,12 March 2015,The perfect skin product.,Helpful
Manushree,5.0 out of 5 stars,Nice,25 August 2018,Very good product,Helpful
C.Lavanya,5.0 out of 5 stars,Awesome,12 May 2016,Best face wash everReduced my pimples n marks togetherLess than a month usage,Helpful
Disha parab,5.0 out of 5 stars,Five Stars,4 August 2018,I love it,Helpful
MANOJ KUMAR,5.0 out of 5 stars,Recommended for for all who want to use it,12 August 2017,This item is good and cheaer than market,Helpful
karthika sathiamoorthy,5.0 out of 5 stars,Nice product and great delivery,17 August 2017,Nice product and great delivery,Helpful
MINAKSHI KAR,5.0 out of 5 stars,Five Stars,2 June 2018,Very good,Helpful
Seema,5.0 out of 5 stars,Five Stars,1 April 2018,Excellent product,Helpful
arpan Dutta,5.0 out of 5 stars,Amazing,22 August 2018,Amazing product,Helpful
Anuj Saha,5.0 out of 5 stars,Five Stars,18 January 2016,Simply good,Helpful
ADITYA PRATAP SINGH,4.0 out of 5 stars,Nice,12 August 2018,Awesome,Helpful
Abhinav,5.0 out of 5 stars,himlaya just the best,6 June 2015,Best n only best,Helpful
Hafijur Rahaman,1.0 out of 5 stars,One Star,9 February 2018,not good,Helpful
9894476091,2.0 out of 5 stars,Two Stars,18 March 2018,Very worst product,Helpful
Yohannan alexander,3.0 out of 5 stars,So useful,20 August 2015,Nice,Helpful
Aman,5.0 out of 5 stars,Five Stars,28 April 2015,Good Product,Helpful
Danish S.,5.0 out of 5 stars,Deserve 5 star,30 September 2017,Fantastic face wash as expected.,Helpful
Santu Mandal,4.0 out of 5 stars,Four Stars,30 April 2018,Good,Helpful
Amazon Customer,1.0 out of 5 stars,Bottle was broken,11 October 2017,The bottle was broken from inside when i opened the packaging.,Helpful
